item_number,description,fee
64993,"A diagnostic imaging service to which an item in this table (other than this item or item 64990, 64991, 64992, 64994 or 64995) applies if: (a) the service is an unreferred service; and (b) the service is provided to a person who is under the age of 16 or is a Commonwealth concession card holder; and (c) the person is not an admitted patient of a hospital; and (d) the service is bulk-billed in respect of the fees for: (i) this item; and (ii) the other item in this Schedule applying to the service; and (e) the service is provided at, or from, a practice location in a Modified Monash 5 area",14.05
64994,"A diagnostic imaging service to which an item in this table (other than this item or item 64990, 64991, 64992, 64993 or 64995) applies if: (a) the service is an unreferred service; and (b) the service is provided to a person who is under the age of 16 or is a Commonwealth concession card holder; and (c) the person is not an admitted patient of a hospital; and (d) the service is bulk-billed in respect of the fees for: (i) this item; and (ii) the other item in this Schedule applying to the service; and (e) the service is provided at, or from, a practice location in a Modified Monash 6 area",15.00
64995,"A diagnostic imaging service to which an item in this table (other than this item or item 64990, 64991, 64992, 64993 or 64994) applies if: (a) the service is an unreferred service; and (b) the service is provided to a person who is under the age of 16 or is a Commonwealth concession card holder; and (c) the person is not an admitted patient of a hospital; and (d) the service is bulk-billed in respect of the fees for: (i) this item; and (ii) the other item in this Schedule applying to the service; and (e) the service is provided at, or from, a practice location in a Modified Monash 7 area",16.35
65060,"Haemoglobin, erythrocyte sedimentation rate, blood viscosity - 1 or more tests",8.25
65066,"Examination of: (a) a blood film by special stains to demonstrate Heinz bodies, parasites or iron; or (b) a blood film by enzyme cytochemistry for neutrophil alkaline phosphatase, alpha-naphthyl acetate esterase or chloroacetate esterase; or (c) a blood film using any other special staining methods including periodic acid Schiff and Sudan Black; or (d) a urinary sediment for haemosiderin including a service described in item 65072",10.95
65070,"Erythrocyte count, haematocrit, haemoglobin, calculation or measurement of red cell index or indices, platelet count, leucocyte count and manual or instrument generated differential count - not being a service where haemoglobin only is requested - one or more instrument generated sets of results from a single sample; and (if performed) (a) a morphological assessment of a blood film; (b) any service in item 65060 or 65072",17.80
65072,Examination for reticulocytes including a reticulocyte count by any method - 1 or more tests,10.70
65075,Haemolysis or metabolic enzymes - assessment by: (a) erythrocyte autohaemolysis test; or (b) erythrocyte osmotic fragility test; or (c) sugar water test; or (d) G-6-P D (qualitative or quantitative) test; or (e) pyruvate kinase (qualitative or quantitative) test; or (f) acid haemolysis test; or (g) quantitation of muramidase in serum or urine; or (h) Donath Landsteiner antibody test; or (i) other erythrocyte metabolic enzyme tests 1 or more tests,54.60
65078,Tests for the diagnosis of thalassaemia consisting of haemoglobin electrophoresis or chromatography and at least 2 of: (a) examination for HbH; or (b) quantitation of HbA2; or (c) quantitation of HbF; including (if performed) any service described in item 65060 or 65070,94.75
65079,Tests described in item 65078 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),94.75
65081,"Tests for the investigation of haemoglobinopathy consisting of haemoglobin electrophoresis or chromatography and at least 1 of: (a) heat denaturation test; or (b) isopropanol precipitation test; or (c) tests for the presence of haemoglobin S; or (d) quantitation of any haemoglobin fraction (including S, C, D, E); including (if performed) any service described in item 65060, 65070 or 65078",101.45
65082,Tests described in item 65081 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),101.45
65084,"Bone marrow trephine biopsy - histopathological examination of sections of bone marrow and examination of aspirated material (including clot sections where necessary), including (if performed): any test described in item 65060, 65066 or 65070",174.25
65087,"Bone marrow - examination of aspirated material (including clot sections where necessary), including (if performed): any test described in item 65060, 65066 or 65070",87.30
65090,Blood grouping (including back-grouping if performed) - ABO and Rh (D antigen),11.70
65093,"Blood grouping - Rh phenotypes, Kell system, Duffy system, M and N factors or any other blood group system - 1 or more systems, including item 65090 (if performed)",23.15
65096,"Blood grouping (including back-grouping if performed), and examination of serum for Rh and other blood group antibodies, including: (a) identification and quantitation of any antibodies detected; and (b) (if performed) any test described in item 65060 or 65070",43.10
65099,"Compatibility tests by crossmatch - all tests performed on any 1 day for up to 6 units, including: (a) direct testing of donor red cells from each unit against the serum of the patient by one or more accepted crossmatching techniques; and (b) all grouping checks of the patient and donor; and (c) examination for antibodies, and if necessary identification of any antibodies detected; and (d) (if performed) any tests described in item 65060, 65070, 65090 or 65096 (Item is subject to rule 5)",114.40
65102,"Compatibility tests by crossmatch - all tests performed on any 1 day in excess of 6 units, including: (a) direct testing of donor red cells from each unit against serum of the patient by one or more accepted crossmatching techniques; and (b) all grouping checks of the patient and donor; and (c) examination for antibodies, and if necessary identification of any antibodies detected; and (d) (if performed) any tests described in item 65060, 65070, 65090, 65096, 65099 or 65105 (Item is subject to rule 5)",172.95
65105,"Compatibility testing using at least a 3 cell panel and issue of red cells for transfusion - all tests performed on any one day for up to 6 units, including: (a) all grouping checks of the patient and donor; and (b) examination for antibodies and, if necessary, identification of any antibodies detected; and (c) (if performed) any tests described in item 65060, 65070, 65090 or 65096 (Item is subject to rule 5)",114.40
65108,"Compatibility testing using at least a 3 cell panel and issue of red cells for transfusion - all tests performed on any one day in excess of 6 units, including: (a) all grouping checks of the patient and donor; and (b) examination for antibodies and, if necessary, identification of any antibodies detected; and (c) (if performed) any tests described in item 65060, 65070, 65090, 65096, 65099 or 65105 (Item is subject to rule 5)",172.95
65109,Release of fresh frozen plasma or cryoprecipitate for the use in a patient for the correction of a coagulopathy - 1 release.,13.55
65110,Release of compatible fresh platelets for the use in a patient for platelet support as prophylaxis to minimize bleeding or during active bleeding - 1 release.,13.55
65111,"Examination of serum for blood group antibodies (including identification and, if necessary, quantitation of any antibodies detected)",24.35
65114,1 or more of the following tests: (a) direct Coombs (antiglobulin) test; (b) qualitative or quantitative test for cold agglutinins or heterophil antibodies,9.55
65117,1 or more of the following tests: (a) Spectroscopic examination of blood for chemically altered haemoglobins; (b) detection of methaemalbumin (Schumm's test),21.30
65120,"Prothrombin time (including INR where appropriate), activated partial thromboplastin time, thrombin time (including test for the presence of heparin), test for factor XIII deficiency (qualitative), Echis test, Stypven test, reptilase time, fibrinogen, or 1 of fibrinogen degradation products, fibrin monomer or D-dimer - 1 test",14.40
65123,2 tests described in item 65120,21.40
65126,3 tests described in item 65120,29.25
65129,4 or more tests described in item 65120,37.30
65137,"Test for the presence of lupus anticoagulant not being a service associated with any service to which items 65175, 65176, 65177, 65178 and 65179 apply",26.60
65142,"Confirmation or clarification of an abnormal or indeterminate result from a test described in item 65175, by testing a specimen collected on a different day - 1 or more tests",26.60
65144,"Platelet aggregation in response to ADP, collagen, 5HT, ristocetin or other substances; or heparin, low molecular weight heparins, heparinoid or other drugs - 1 or more tests",59.40
65147,Quantitation of anti-Xa activity when monitoring is required for a patient receiving a low molecular weight heparin or heparinoid - 1 test,39.80
65150,"Assessment of von Willebrand factor, factor II, factor V, factor VII, factor VIII, factor IX, factor X, factor XI, factor XII, factor XIII, prekallikrein, high-molecular-weight kininogen, circulating coagulation factor inhibitors other than by Bethesda assay—one test",74.50
65153,2 tests described in item 65150 (Item is subject to rule 6 ),149.05
65156,3 or more tests described in item 65150 (Item is subject to rule 6 ),223.50
65157,"A test described in item 65150, if rendered by a receiving APP, where no tests in the item have been rendered by the referring APP - 1 test (Item is subject to rule 6 and 18)",74.50
65158,"Tests described in item 65150, other than that described in 65157, if rendered by a receiving APP - each test to a maximum of 2 tests (Item is subject to rule 6 and 18)",74.50
65159,Quantitation of circulating coagulation factor inhibitors by Bethesda assay - 1 test,74.50
65162,Examination of a maternal blood film for the presence of fetal red blood cells (Kleihauer test),11.00
65165,Detection and quantitation of fetal red blood cells in the maternal circulation by detection of red cell antigens using flow cytometric methods including (if performed) any test described in item 65070 or 65162,36.20
65166,A test described in item 65165 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),36.20
65171,"Test for the presence of antithrombin III deficiency, protein C deficiency, protein S deficiency or activated protein C resistance in a first degree relative of a person who has a proven defect of any of the above - 1 or more tests",26.60
65175,"Test for the presence of antithrombin III deficiency, protein C deficiency, protein S deficiency, lupus anticoagulant, activated protein C resistance - where the request for the test(s) specifically identifies that the patient has a history of venous thromboembolism - quantitation by 1 or more techniques - 1 test (Item is subject to Rule 6)",26.60
65176,2 tests described in item 65175 (Item is subject to rule 6),51.10
65177,3 tests described in item 65175 (Item is subject to rule 6),75.60
65178,4 tests described in item 65175 (Item is subject to rule 6),100.05
65179,5 tests described in item 65175 (Item is subject to rule 6),124.50
65180,"A test described in item 65175, if rendered by a receiving APA, where no tests in the item have been rendered by the referring APA - 1 test (Item is subject to rule 6 and 18)",26.60
65181,"A test described in item 65175, if rendered by a receiving APP, if one or more tests described in the item have been rendered by the referring APP - one test (Item is subject to rule 6 and 18)",24.45
66500,"Quantitation in serum, plasma, urine or other body fluid (except amniotic fluid), by any method except reagent tablet or reagent strip (with or without reflectance meter) of: acid phosphatase, alanine aminotransferase, albumin, alkaline phosphatase, ammonia, amylase, aspartate aminotransferase, bicarbonate, bilirubin (total), bilirubin (any fractions), C-reactive protein, calcium (total or corrected for albumin), chloride, creatine kinase, creatinine, gamma glutamyl transferase, globulin, glucose, lactate dehydrogenase, lipase, magnesium, phosphate, potassium, sodium, total protein, total cholesterol, triglycerides, urate or urea - 1 test",9.70
66503,2 tests described in item 66500,11.65
66506,3 tests described in item 66500,13.65
66509,4 tests described in item 66500,15.65
66512,5 or more tests described in item 66500,17.70
66517,Quantitation of bile acids in blood in pregnancy. Applicable not more than 3 times in a pregnancy.,19.65
66518,"Investigation of cardiac or skeletal muscle damage by quantitative measurement of creatine kinase isoenzymes, troponin or myoglobin in blood - testing on 1 specimen in a 24 hour period",20.05
66519,"Investigation of cardiac or skeletal muscle damage by quantitative measurement of creatine kinase isoenzymes, troponin or myoglobin in blood - testing on 2 or more specimens in a 24 hour period",40.15
66520,"Fibroblast growth factor 23 quantification in serum or plasma, requested by a specialist or consultant physician to determine eligibility for a relevant treatment listed on the Pharmaceutical Benefits Scheme",90.00
66522,"Faecal calprotectin test for the diagnosis of inflammatory bowel disease, if all the following apply: the patient is under 50 years of age; the patient has gastrointestinal symptoms suggestive of inflammatory or functional bowel disease of more than 6 weeks’ duration; infectious causes have been excluded; the likelihood of malignancy has been assessed as low; no relevant clinical alarms are present",75.00
66523,"Faecal calprotectin test for the diagnosis of inflammatory bowel disease, if all the following apply: the results of a service to which item 66522 applies were inconclusive for the patient (that is, the results showed a faecal calprotectin level of more than 50 μg/g but not more than 100 μg/g); the patient has ongoing gastrointestinal symptoms suggestive of inflammatory or functional bowel disease; the service is requested by a specialist or consultant physician practising as a specialist gastroenterologist; the request indicates that an endoscopic examination is not initially required; no relevant clinical alarms are present",75.00
66525,"Faecal calprotectin test for the management of a symptomatic patient with diagnosed inflammatory bowel disease, requested by or on behalf of a specialist or consultant physician",75.00
66536,Quantitation of HDL cholesterol,11.05
66539,"Electrophoresis of serum for demonstration of lipoprotein subclasses, if the cholesterol is &gt;6.5 mmol/L and triglyceride &gt;4.0 mmol/L or in the diagnosis of types III and IV hyperlipidaemia - (Item is subject to rule 25)",30.60
66542,Oral glucose tolerance test for the diagnosis of diabetes mellitus that includes: (a) administration of glucose; and (b) at least 2 measurements of blood glucose; and (c) (if performed) any test described in item 66695,18.95
66545,Oral glucose challenge test in pregnancy for the detection of gestational diabetes that includes: (a) administration of glucose; and (b) 1 or 2 measurements of blood glucose; and (c) (if performed) any test in item 66695,15.80
66548,Oral glucose tolerance test in pregnancy for the diagnosis of gestational diabetes that includes: (a) administration of glucose; and (b) at least 3 measurements of blood glucose; and (c) any test in item 66695 (if performed),19.90
66551,Quantitation of glycated haemoglobin performed in the management of established diabetes (See para PR.2.2 of explanatory notes to this Category),16.80
66554,Quantitation of glycated haemoglobin performed in the management of pre-existing diabetes where the patient is pregnant - including a service in item 66551 (if performed) - (Item is subject to rule 25),16.80
66557,Quantitation of fructosamine performed in the management of established diabetes - each test to a maximum of 4 tests in a 12 month period,9.70
66560,Microalbumin - quantitation in urine,20.10
66563,"Osmolality, estimation by osmometer, in serum or in urine - 1 or more tests",24.70
66566,"Quantitation of: (a) blood gases (including pO2, oxygen saturation and pCO2) ; and (b) bicarbonate and pH; including any other measurement (eg. haemoglobin, lactate, potassium or ionised calcium) or calculation performed on the same specimen - 1 or more tests on 1 specimen",33.70
66569,"Quantitation of blood gases, bicarbonate and pH as described in item 66566 on 2 specimens performed within any 1 day",42.60
66572,"Quantitation of blood gases, bicarbonate and pH as described in item 66566 on 3 specimens performed within any 1 day",51.55
66575,"Quantitation of blood gases, bicarbonate and pH as described in item 66566 on 4 specimens performed within any 1 day",60.45
66578,"Quantitation of blood gases, bicarbonate and pH as described in item 66566 on 5 specimens performed within any 1 day",69.35
66581,"Quantitation of blood gases, bicarbonate and pH as described in item 66566 on 6 or more specimens performed within any 1 day",78.25
66584,Quantitation of ionised calcium (except if performed as part of item 66566) - 1 test,9.70
66585,Quantification of laboratory‑based BNP or NT‑proBNP testing in a patient with systemic sclerosis (scleroderma) to assess risk of pulmonary arterial hypertension Maximum of 2 tests in a 12 month period,58.50
66586,Quantification of BNP or NT-proBNP testing in a patient with diagnosed pulmonary arterial hypertension to monitor for disease progression Applicable 4 times in any 12-month period,58.50
66587,"Urine acidification test for the diagnosis of renal tubular acidosis including the administration of an acid load, and pH measurements on 4 or more urine specimens and at least 1 blood specimen",47.55
66590,"Calculus, analysis of 1 or more",30.60
66593,"Ferritin - quantitation, except if requested as part of iron studies",18.00
66596,"Iron studies, consisting of quantitation of: (a) serum iron; and (b) transferrin or iron binding capacity; and (c) ferritin",32.55
66605,"Vitamins - quantitation of vitamins B1, B2, B3, B6 or C in blood, urine or other body fluid - 1 or more tests",30.60
66606,A test described in item 66605 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18 and 25),30.60
66607,"Vitamins - quantitation of vitamins A or E in blood, urine or other body fluid - 1 or more tests within a 6 month period",75.75
66610,A test described in item 66607 if rendered by a receiving APP - 1 or more tests,75.75
66623,"All qualitative and quantitative tests on blood, urine or other body fluid for: (a) a drug or drugs of abuse (including illegal drugs and legally available drugs taken other than in appropriate dosage); or (b) ingested or absorbed toxic chemicals; including a service described in item 66800, 66803, 66806, 66812 or 66815 (if performed), but excluding: (c) the surveillance of sports people and athletes for performance improving substances; and (d) the monitoring of patients participating in a drug abuse treatment program",41.50
66626,"Detection or quantitation or both (not including the detection of nicotine and metabolites in smoking withdrawal programs) of a drug, or drugs, of abuse or a therapeutic drug, on a sample collected from a patient participating in a drug abuse treatment program; but excluding the surveillance of sports people and athletes for performance improving substances; including all tests on blood, urine or other body fluid (Item is subject to rule 25)",24.10
66629,"Beta-2-microglobulin - quantitation in serum, urine or other body fluids - 1 or more tests",20.10
66632,"Caeruloplasmin, haptoglobins, or prealbumin - quantitation in serum, urine or other body fluids - 1 or more tests",20.10
66635,"Alpha-1-antitrypsin - quantitation in serum, urine or other body fluid - 1 or more tests",20.10
66638,Isoelectric focussing or similar methods for determination of alpha-1-antitrypsin phenotype in serum - 1 or more tests,49.05
66639,A test described in item 66638 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),29.20
66641,Electrophoresis of serum or other body fluid to demonstrate: (a) the isoenzymes of lactate dehydrogenase; or (b) the isoenzymes of alkaline phosphatase; including the preliminary quantitation of total relevant enzyme activity - 1 or more tests,29.20
66642,A test described in item 66641 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),29.20
66644,C-1 esterase inhibitor - quantitation,20.15
66647,C-1 esterase inhibitor - functional assay,45.10
66650,"Alpha-fetoprotein, CA-15.3 antigen (CA15.3), CA-125 antigen (CA125), CA-19.9 antigen (CA19.9), cancer associated serum antigen (CASA), carcinoembryonic antigen (CEA), human chorionic gonadotrophin (HCG), neuron specific enolase (NSE), thyroglobulin in serum or other body fluid, in the monitoring of malignancy or in the detection or monitoring of hepatic tumours, gestational trophoblastic disease or germ cell tumour - quantitation - 1 test (Item is subject to rule 6)",24.35
66651,"A test described in item 66650 if rendered by a receiving APP, where no tests in the item have been rendered by the referring APP - 1 test (Item is subject to rule 6 and 18)",24.35
66652,"A test described in item 66650 if rendered by a receiving APP - other than that described in 66651, if rendered by a receiving APP, 1 test (Item is subject to rule 6 and 18)",20.30
66653,2 or more tests described in item 66650 (Item is subject to rule 6),44.60
66654,"Prostate specific antigen – quantitation in the monitoring of high-risk patients For any particular patient, applicable not more than once in 11 months",20.15
66655,"Prostate specific antigen—quantitation For any particular patient, applicable not more than once in 23 months",20.15
66656,"Prostate specific antigen (PSA) quantitation in the monitoring of previously diagnosed prostatic disease (including prostate cancer, prostatitis or a premalignant condition such as atypical small acinar proliferation)",20.15
66659,"Prostate specific antigen (PSA), quantitation of 2 or more fractions of PSA and any derived index, including, if performed, a test described in item 66656, in the follow up of a PSA result under item 66654 or 66655 that lies at: (a) more than 2.0 ug/L but less than or equal to 5.5 ug/L for patients with a family history of prostate cancer; or (b) more than 3.0 ug/L but less than or equal to 5.5 ug/L for patients who are at least 50 years of age but under 70 years of age; or (c) more than 5.5 ug/L but less than or equal to 10.0 ug/L for patients who are at least 70 years of age For any particular patient, applicable not more than once in 11 months",37.30
66660,"Prostate specific antigen (PSA), quantitation of 2 or more fractions of PSA and any derived index, in the monitoring of previously diagnosed prostatic disease, including, if performed, a test described in item 66656, if the current PSA level lies at: (a) more than 2.0 ug/L but less than or equal to 5.5 ug/L for patients with a family history of prostate cancer; or (b) more than 3.0 ug/L but less than or equal to 5.5 ug/L for patients who are at least 50 years of age but under 70 years of age; or (c) more than 5.5 ug/L but less than or equal to 10.0 ug/L for patients who are at least 70 years of age For any particular patient, applicable not more than 4 times in 11 months",37.30
66662,Quantitation of hormone receptors on proven primary breast or ovarian carcinoma or a metastasis from a breast or ovarian carcinoma or a subsequent lesion in the breast - 1 or more tests,79.95
66663,A test described in item 66662 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),79.95
66665,Lead quantitation in blood or urine (other than for occupational health screening purposes) to a maximum of 3 tests in a 6 month period - each test,30.60
66666,A test described in item 66665 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),30.60
66667,Quantitation of serum zinc in a patient receiving intravenous alimentation - each test,30.60
66671,Quantitation of serum aluminium in a patient in a renal dialysis program - each test,36.90
66674,Quantitation of: (a) faecal fat; or (b) breath hydrogen in response to loading with disaccharides; 1 or more tests within a 28 day period,39.95
66677,Test for tryptic activity in faeces in the investigation of diarrhoea of longer than 4 weeks duration in children under 6 years old,11.15
66680,Quantitation of disaccharidases and other enzymes in intestinal tissue - 1 or more tests,74.45
66683,Enzymes - quantitation in solid tissue or tissues other than blood elements or intestinal tissue - 1 or more tests,74.45
66686,Performance of 1 or more of the following procedures: (a) growth hormone suppression by glucose loading; (b) growth hormone stimulation by exercise; (c) dexamethasone suppression test; (d) sweat collection by iontophoresis for chloride analysis; (e) pharmacological stimulation of growth hormone,50.65
66695,"Quantitation in blood or urine of hormones and hormone binding proteins - ACTH, aldosterone, androstenedione, C-peptide, calcitonin, cortisol, DHEAS, 11-deoxycortisol, dihydrotestosterone, FSH, gastrin, glucagon, growth hormone, hydroxyprogesterone, insulin, LH, oestradiol, oestrone, progesterone, prolactin, PTH, renin, sex hormone binding globulin, somatomedin C(IGF-1), free or total testosterone, urine steroid fraction or fractions, vasoactive intestinal peptide, - 1 test (Item is subject to rule 6)",30.50
66696,"A test described in item 66695, if rendered by a receiving APP - where no tests in the item have been rendered by the referring APP (Item is subject to rule 6 and 18)",30.50
66697,"Tests described in item 66695, other than that described in 66696, if rendered by a receiving APP - each test to a maximum of 4 tests (Item is subject to rule 6 and 18)",13.20
66698,2 tests described in item 66695 (Item is subject to rule 6),43.70
66701,3 tests described in item 66695 (Item is subject to rule 6),56.90
66704,"4 tests described in item 66695 (This fee applies where 1 laboratory, or more than 1 laboratory belonging to the same APA, performs the only 4 tests specified on the request form or performs 4 tests and refers the rest to the laboratory of a separate APA) (Item is subject to rule 6)",70.15
66707,5 or more tests described in item 66695 (Item is subject to rule 6),83.35
66711,Quantitation in saliva of cortisol in: (a) the investigation of Cushing's syndrome; or (b) the management of children with congenital adrenal hyperplasia (Item is subject to rule 6),30.15
66712,Two tests described in item 66711 (Item is subject to rule 6),43.05
66714,"A test described in item 66711, if rendered by a receiving APP, where no tests in the item have been rendered by the referring APP (Item is subject to rule 6 and 18)",30.15
66715,"Tests described in item 66711, other than that described in 66714, if rendered by a receiving APP, each test to a maximum of 1 test (Item is subject to rule 6 and 18)",12.85
66716,TSH quantitation,25.05
66719,"Thyroid function tests (comprising the service described in item 66716 and either or both of a test for free thyroxine and a test for free T3) for a patient, if: (a) the patient has a level of TSH that is outside the normal reference range for the particular method of assay used to determine the level; or (b) the request from the requesting medical practitioner indicates that the tests are performed: (i) for the purpose of monitoring thyroid disease in the patient; or (ii) to investigate the sick euthyroid syndrome if the patient is an admitted patient; or (iii) to investigate dementia or psychiatric illness of the patient; or (iv) to investigate amenorrhoea or infertility of the patient; or (c) the request from the requesting medical practitioner indicates that the medical practitioner suspects the patient has a pituitary dysfunction; or (d) the request from the requesting medical practitioner indicates that the patient is on drugs that interfere with thyroid hormone metabolism or function",34.80
66722,"TSH quantitation described in item 66716 and 1 test described in item 66695 (This fee applies where 1 laboratory, or more than 1 laboratory belonging to the same APA, performs the only 2 tests specified on the request form or performs 2 tests and refers the rest to the laboratory of a separate APA) (Item is subject to rule 6)",37.90
66723,"Tests described in item 66722, that is, TSH quantitation and 1 test described in 66695, if rendered by a receiving APP, where no tests in the item have been rendered by the referring APP - 1 test (Item is subject to rule 6 and 18)",37.90
66724,"Tests described in item 66722, if rendered by a receiving APP, other than that described in 66723. It is to include a quantitation of TSH - each test to a maximum of 4 tests described in item 66695 (Item is subject to rule 6 and 18)",13.15
66725,"TSH quantitation described in item 66716 and 2 tests described in item 66695 (This fee applies where 1 laboratory, or more than 1 laboratory belonging to the same APA, performs the only 3 tests specified on the request form or performs 3 tests and refers the rest to the laboratory of a separate APA) (Item is subject to rule 6)",51.05
66728,"TSH quantitation described in item 66716 and 3 tests described in item 66695 (This fee applies where 1 laboratory, or more than 1 laboratory belonging to the same APA, performs the only 4 tests specified on the request form or performs 4 tests and refers the rest to the laboratory of a separate APA) (Item is subject to rule 6)",64.20
66731,"TSH quantitation described in item 66716 and 4 tests described in item 66695 (This fee applies where 1 laboratory, or more than 1 laboratory belonging to the same APA, performs the only 5 tests specified on the request form or performs 5 tests and refers the rest to the laboratory of a separate APA) (Item is subject to rule 6)",77.40
66734,"TSH quantitation described in item 66716 and 5 tests described in item 66695 (This fee applies where 1 laboratory, or more than 1 laboratory belonging to the same APA, performs 6 or more tests specified on the request form) (Item is subject to rule 6)",90.55
66743,Quantitation of alpha-fetoprotein in serum or other body fluids during pregnancy except if requested as part of items 66750 or 66751,20.10
66749,"Amniotic fluid, spectrophotometric examination of, and quantitation of: (a) lecithin/sphingomyelin ratio; or (b) palmitic acid, phosphatidylglycerol or lamellar body phospholipid; or (c) bilirubin, including correction for haemoglobin 1 or more tests",32.95
66750,"Quantitation, in pregnancy, of any 2 of the following to detect foetal abnormality - total human chorionic gonadotrophin (total HCG), free alpha human chorionic gonadotrophin (free alpha HCG), free beta human chorionic gonadotrophin (free beta HCG), pregnancy associated plasma protein A (PAPP-A), unconjugated oestriol (uE3), alpha-fetoprotein (AFP) - including (if performed) a service described in item 73527 or 73529 - Applicable not more than once in a pregnancy",39.75
66751,"Quantitation, in pregnancy, of any three or more tests described in 66750 (Item is subject to rule 25)",55.25
66752,"Quantitation of acetoacetate, beta-hydroxybutyrate, citrate, oxalate, total free fatty acids, cysteine, homocysteine, cystine, lactate, pyruvate or other amino acids and hydroxyproline (except if performed as part of item 66773 or 66776) - 1 test",24.70
66755,2 or more tests described in item 66752,38.85
66756,"Quantitation of 10 or more amino acids for the diagnosis of inborn errors of metabolism - up to 4 tests in a 12 month period on specimens of plasma, CSF and urine.",98.30
66757,Quantitation of 10 or more amino acids for monitoring of previously diagnosed inborn errors of metabolism in 1 tissue type.,98.30
66758,"Quantitation of angiotensin converting enzyme, or cholinesterase - 1 or more tests",24.70
66761,Test for reducing substances in faeces by any method (except reagent strip or dipstick),13.15
66764,Examination for faecal occult blood (including tests for haemoglobin and its derivatives in the faeces except by reagent strip or dip stick methods) with a maximum of 3 examinations on specimens collected on separate days in a 28 day period,8.90
66767,2 examinations described in item 66764 performed on separately collected and identified specimens,17.85
66770,3 examinations described in item 66764 performed on separately collected and identified specimens,26.70
66773,"Quantitation of products of collagen breakdown or formation for the monitoring of patients with proven low bone mineral density, and if performed, a service described in item 66752 - 1 or more tests (Low bone densitometry is defined in the explanatory notes to Category 2 - Diagnostic Procedures and Investigations of the Medicare Benefits Schedule)",24.65
66776,"Quantitation of products of collagen breakdown or formation for the monitoring of patients with metabolic bone disease or Paget's disease of bone, and if performed, a service described in item 66752 - 1 or more tests",24.65
66779,"Adrenaline, noradrenaline, dopamine, histamine, hydroxyindoleacetic acid (5HIAA), hydroxymethoxymandelic acid (HMMA), homovanillic acid (HVA), metanephrines, methoxyhydroxyphenylethylene glycol (MHPG), phenylacetic acid (PAA) or serotonin quantitation - 1 or more tests",39.95
66780,A test described in item 66779 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),39.95
66782,"Porphyrins or porphyrins precursors - detection in plasma, red cells, urine or faeces - 1 or more tests",13.15
66783,A test described in item 66782 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),13.15
66785,"Porphyrins or porphyrins precursors - quantitation in plasma, red cells, urine or faeces - 1 test (Item is subject to rule 6)",39.95
66788,"Porphyrins or porphyrins precursors - quantitation in plasma, red cells, urine or faeces - 2 or more tests (Item is subject to rule 6)",65.85
66789,"A test described in item 66785 if rendered by a receiving APP, where no tests in the item have been rendered by the referring APP - 1 test (Item is subject to rule 6 and 18)",39.95
66790,"A test described in item 66785 other than that described in 66789, if rendered by a receiving APP - to a maximum of 1 test (Item is subject to rule 6 and 18)",25.90
66791,Porphyrin biosynthetic enzymes - measurement of activity in blood cells or other tissues - 1 or more tests,74.45
66792,A test described in item 66791 if rendered by a receiving APP - 1 or more tests (Item is subject to rule 18),74.45
66800,"Quantitation in blood, urine or other body fluid by any method (except reagent tablet or reagent strip) of any of the following being used therapeutically by the patient from whom the specimen was taken: amikacin, carbamazepine, digoxin, disopyramide, ethanol, ethosuximide, gentamicin, lithium, lignocaine, netilmicin, paracetamol, phenobarbitone, primidone, phenytoin, procainamide, quinidine, salicylate, theophylline, tobramycin, valproate or vancomycin - 1 test (Item to be subject to rule 6)",18.15
66803,2 tests described in item 66800 (Item is subject to rule 6),30.50
66804,"A test described in item 66800 if rendered by a receiving APP, where no tests in the item have been rendered by the referring APP - 1 test (Item is subject to rule 6 and 18)",18.15
66805,"A test described in item 66800 other than that described in 66804, if rendered by a receiving APP - each test to a maximum of 2 tests (Item is subject to rule 6 and 18)",12.35
66806,3 tests described in item 66800 (Item is subject to rule 6),41.85
66812,"Quantitation, not elsewhere described in this Table by any method or methods, in blood, urine or other body fluid, of a drug being used therapeutically by the patient from whom the specimen was taken - 1 test (This fee applies where 1 laboratory performs the only test specified on the request form or performs 1 test and refers the rest to the laboratory of a separate APA) (Item is subject to rule 6)",34.80
66815,"2 tests described in item 66812 (This fee applies where 1 laboratory, or more than 1 laboratory belonging to the same APA, performs the only 2 tests specified on the request form or performs 2 tests and refers the rest to the laboratory of a separate APA) (Item is subject to rule 6)",59.55
66816,"A test described in item 66812 if rendered by a receiving APP, where no tests in the item have been rendered by the referring APP - 1 test (Item is subject to rule 6 and 18)",34.80
66817,"A test described in item 66812, other than that described in 66816, if rendered by a receiving APP - to a maximum of 1 test (Item is subject to rule 6 and 18)",24.75
66819,"Quantitation of copper, manganese, selenium, or zinc (except if item 66667 applies), in blood, urine or other body fluid - 1 test. (Item is subject to rule 6, 22 and 25)",30.60
